project,cve,cwe,full_name,vul_version,vul_url,vul_zip,vul_markup_file,patch_version,patch_url,patch_zip,patch_markup_file
swagger-parser,CVE-2017-1000207,CWE-502,swagger-api/swagger-parser,swagger-parser-1.0.27,https://github.com/swagger-api/swagger-parser/releases/tag/v1.0.27,https://github.com/swagger-api/swagger-parser/archive/refs/tags/v1.0.27.zip,swagger-parser_CVE-2017-1000207_swagger-parser-1.0.27.csv,swagger-parser-1.0.36,https://github.com/swagger-api/swagger-parser/releases/tag/v1.0.36,https://github.com/swagger-api/swagger-parser/archive/refs/tags/v1.0.36.zip,swagger-parser_CVE-2017-1000207_swagger-parser-1.0.36.csv
jackson-databind,CVE-2020-36182,CWE-502,FasterXML/jackson-databind,jackson-databind-jackson-databind-2.9.10.7,https://github.com/FasterXML/jackson-databind/releases/tag/jackson-databind-2.9.10.7,https://github.com/FasterXML/jackson-databind/archive/refs/tags/jackson-databind-2.9.10.7.zip,jackson-databind_CVE-2020-36182_jackson-databind-jackson-databind-2.9.10.7.csv,jackson-databind-jackson-databind-2.9.10.8,https://github.com/FasterXML/jackson-databind/releases/tag/jackson-databind-2.9.10.8,https://github.com/FasterXML/jackson-databind/archive/refs/tags/jackson-databind-2.9.10.8.zip,jackson-databind_CVE-2020-36182_jackson-databind-jackson-databind-2.9.10.8.csv
jackson-databind,CVE-2018-7489,CWE-184,FasterXML/jackson-databind,jackson-databind-jackson-databind-2.9.4,https://github.com/FasterXML/jackson-databind/releases/tag/jackson-databind-2.9.4,https://github.com/FasterXML/jackson-databind/archive/refs/tags/jackson-databind-2.9.4.zip,jackson-databind_CVE-2018-7489_jackson-databind-jackson-databind-2.9.4.csv,jackson-databind-jackson-databind-2.9.5,https://github.com/FasterXML/jackson-databind/releases/tag/jackson-databind-2.9.5,https://github.com/FasterXML/jackson-databind/archive/refs/tags/jackson-databind-2.9.5.zip,jackson-databind_CVE-2018-7489_jackson-databind-jackson-databind-2.9.5.csv
pgjdbc,CVE-2018-10936,CWE-297,pgjdbc/pgjdbc,pgjdbc-REL42.2.5,https://github.com/pgjdbc/pgjdbc/releases/tag/REL42.2.5,https://github.com/pgjdbc/pgjdbc/archive/refs/tags/REL42.2.5.zip,pgjdbc_CVE-2018-10936_pgjdbc-REL42.2.5.csv,pgjdbc-REL42.2.6,https://github.com/pgjdbc/pgjdbc/releases/tag/REL42.2.6,https://github.com/pgjdbc/pgjdbc/archive/refs/tags/REL42.2.6.zip,pgjdbc_CVE-2018-10936_pgjdbc-REL42.2.6.csv
commons-fileupload,CVE-2016-1000031,CWE-284,apache/commons-fileupload,commons-fileupload-commons-fileupload-1.3.2,https://github.com/apache/commons-fileupload/releases/tag/commons-fileupload-1.3.2,https://github.com/apache/commons-fileupload/archive/refs/tags/commons-fileupload-1.3.2.zip,commons-fileupload_CVE-2016-1000031_commons-fileupload-commons-fileupload-1.3.2.csv,commons-fileupload-commons-fileupload-1.3.3,https://github.com/apache/commons-fileupload/releases/tag/commons-fileupload-1.3.3,https://github.com/apache/commons-fileupload/archive/refs/tags/commons-fileupload-1.3.3.zip,commons-fileupload_CVE-2016-1000031_commons-fileupload-commons-fileupload-1.3.3.csv
undertow,CVE-2017-12165,CWE-444,undertow-io/undertow,undertow-2.0.0.Alpha1,https://github.com/undertow-io/undertow/releases/tag/2.0.0.Alpha1,https://github.com/undertow-io/undertow/archive/refs/tags/2.0.0.Alpha1.zip,undertow_CVE-2017-12165_undertow-2.0.0.Alpha1.csv,undertow-2.0.1.Final,https://github.com/undertow-io/undertow/releases/tag/2.0.1.Final,https://github.com/undertow-io/undertow/archive/refs/tags/2.0.1.Final.zip,undertow_CVE-2017-12165_undertow-2.0.1.Final.csv
jackson-databind,CVE-2019-17531,CWE-502,FasterXML/jackson-databind,jackson-databind-jackson-databind-2.9.10,https://github.com/FasterXML/jackson-databind/releases/tag/jackson-databind-2.9.10,https://github.com/FasterXML/jackson-databind/archive/refs/tags/jackson-databind-2.9.10.zip,jackson-databind_CVE-2019-17531_jackson-databind-jackson-databind-2.9.10.csv,jackson-databind-jackson-databind-2.9.10.5,https://github.com/FasterXML/jackson-databind/releases/tag/jackson-databind-2.9.10.5,https://github.com/FasterXML/jackson-databind/archive/refs/tags/jackson-databind-2.9.10.5.zip,jackson-databind_CVE-2019-17531_jackson-databind-jackson-databind-2.9.10.5.csv
qpid-broker-j,CVE-2016-8741,CWE-200,apache/qpid-broker-j,qpid-broker-j-6.0.2,https://github.com/apache/qpid-broker-j/releases/tag/6.0.2,https://github.com/apache/qpid-broker-j/archive/refs/tags/6.0.2.zip,qpid-broker-j_CVE-2016-8741_qpid-broker-j-6.0.2.csv,qpid-broker-j-6.1.1,https://github.com/apache/qpid-broker-j/releases/tag/6.1.1,https://github.com/apache/qpid-broker-j/archive/refs/tags/6.1.1.zip,qpid-broker-j_CVE-2016-8741_qpid-broker-j-6.1.1.csv
jackson-databind,CVE-2020-10969,CWE-502,FasterXML/jackson-databind,jackson-databind-jackson-databind-2.9.10,https://github.com/FasterXML/jackson-databind/releases/tag/jackson-databind-2.9.10,https://github.com/FasterXML/jackson-databind/archive/refs/tags/jackson-databind-2.9.10.zip,jackson-databind_CVE-2020-10969_jackson-databind-jackson-databind-2.9.10.csv,jackson-databind-jackson-databind-2.9.10.5,https://github.com/FasterXML/jackson-databind/releases/tag/jackson-databind-2.9.10.5,https://github.com/FasterXML/jackson-databind/archive/refs/tags/jackson-databind-2.9.10.5.zip,jackson-databind_CVE-2020-10969_jackson-databind-jackson-databind-2.9.10.5.csv
jackson-databind,CVE-2020-24616,CWE-502,FasterXML/jackson-databind,jackson-databind-jackson-databind-2.9.10.5,https://github.com/FasterXML/jackson-databind/releases/tag/jackson-databind-2.9.10.5,https://github.com/FasterXML/jackson-databind/archive/refs/tags/jackson-databind-2.9.10.5.zip,jackson-databind_CVE-2020-24616_jackson-databind-jackson-databind-2.9.10.5.csv,jackson-databind-jackson-databind-2.9.10.6,https://github.com/FasterXML/jackson-databind/releases/tag/jackson-databind-2.9.10.6,https://github.com/FasterXML/jackson-databind/archive/refs/tags/jackson-databind-2.9.10.6.zip,jackson-databind_CVE-2020-24616_jackson-databind-jackson-databind-2.9.10.6.csv
