cve,project,commit_hash,cwe,vul_version_hash,patch_version_hash
CVE-2015-5739,https://github.com/golang/go,117ddcb83d7f42d6aa72241240af99ded81118e9,CWE-444,,
CVE-2015-5740,https://github.com/golang/go,300d9a21583e7cf0149a778a0611e76ff7c6680f,CWE-444,,
CVE-2015-5741,https://github.com/golang/go,300d9a21583e7cf0149a778a0611e76ff7c6680f,CWE-444,,
CVE-2017-8932,https://github.com/golang/go,9294fa2749ffee7edbbb817a0ef9fe633136fa9c,CWE-682,,
CVE-2021-3114,https://github.com/golang/go,d95ca9138026cbe40e0857d76a81a16d03230871,CWE-682,,
CVE-2023-39533,https://github.com/golang/go,2350afd2e8ab054390e284c95d5b089c142db017,CWE-770,,
CVE-2013-10005,https://github.com/btcsuite/go-socks,233bccbb1abe02f05750f7ace66f5bffdb13defc,CWE-835,,
CVE-2014-0177,https://github.com/github/hub,016ec99d25b1cb83cb4367e541177aa431beb600,CWE-310,,
CVE-2014-125055,https://github.com/agnivade/easy-scrypt,477c10cf3b144ddf96526aa09f5fdea613f21812,CWE-208,,
CVE-2014-8681,https://github.com/gogits/gogs,83283bca4cb4e0f4ec48a28af680f0d88db3d2c8,CWE-89,,
CVE-2014-8682,https://github.com/gogits/gogs,0c5ba4573aecc9eaed669e9431a70a5d9f184b8d,CWE-89,,
CVE-2015-10004,https://github.com/robbert229/jwt,ca1404ee6e83fcbafb66b09ed0d543850a15b654,CWE-668,,
CVE-2015-10023,https://github.com/Fumon/trello-octometric,a1f1754933fbf21e2221fbc671c81a47de6a04ef,CWE-89,,
CVE-2015-10024,https://github.com/hoffie/larasync,776bad422f4bd4930d09491711246bbeb1be9ba5,CWE-22,,
CVE-2015-10044,https://github.com/gophergala/sqldump,76db54e9073b5248b8863e71a63d66a32d567d21,CWE-89,,
CVE-2015-10085,https://github.com/gopistolet/gopistolet,b91aa4674d460993765884e8463c70e6d886bc90,NVD-CWE-noinfo,,
CVE-2015-1340,https://github.com/lxc/lxd,19c6961cc1012c8a529f20807328a9357f5034f4,CWE-362,,
CVE-2016-15005,https://github.com/dinever/golf,3776f338be48b5bc5e8cf9faff7851fc52a3f1fe,CWE-352,,
CVE-2016-15036,https://github.com/deis/workflow-manager,31fe3bccbdde134a185752e53380330d16053f7f,CWE-362,,
CVE-2016-3697,https://github.com/opencontainers/runc,69af385de62ea68e2e608335cffbb0f4aa3db091,CWE-264,,
CVE-2019-5736,https://github.com/opencontainers/runc,0a8e4117e7f715d5fbeef398405813ce8e88558b,CWE-78,,
CVE-2019-5736,https://github.com/opencontainers/runc,6635b4f0c6af3810594d2770f662f34ddc15b40d,CWE-78,,
CVE-2021-30465,https://github.com/opencontainers/runc,0ca91f44f1664da834bc61115a849b56d22f595f,CWE-362,,
CVE-2021-43784,https://github.com/opencontainers/runc,9c444070ec7bb83995dbc0185da68284da71c554,CWE-190,,
CVE-2021-43784,https://github.com/opencontainers/runc,d72d057ba794164c3cce9451a00b72a78b25e1ae,CWE-190,,
CVE-2021-43784,https://github.com/opencontainers/runc,f50369af4b571e358f20b139eea52d612eb55eed,CWE-190,,
CVE-2022-29162,https://github.com/opencontainers/runc,d04de3a9b72d7a2455c1885fc75eb36d02cd17b5,CWE-276,,
CVE-2023-25809,https://github.com/opencontainers/runc,0d62b950e60f6980b54fe3bafd9a9c608dc1df17,CWE-281,,
CVE-2024-21626,https://github.com/opencontainers/runc,02120488a4c0fc487d1ed2867e901eeed7ce8ecf,CWE-668,,
CVE-2017-14623,https://github.com/go-ldap/ldap,95ede1266b237bf8e9aa5dce0b3250e51bfefe66,CWE-287,,
CVE-2017-18367,https://github.com/seccomp/libseccomp-golang,06e7a29f36a34b8cf419aeb87b979ee508e58f9e,CWE-20,,
CVE-2017-20146,https://github.com/gorilla/handlers,90663712d74cb411cbef281bc1e08c19d1a76145,CWE-346,,
CVE-2017-3204,https://github.com/golang/crypto,e4e2799dd7aab89f583e1d898300d96367750991,NVD-CWE-noinfo,,
CVE-2023-48795,https://github.com/golang/crypto,9d2ee975ef9fe627bf0a6f01c1f69e8ef1d4f05d,CWE-354,,
CVE-2018-1000538,https://github.com/minio/minio,9c8b7306f55f2c8c0a5c7cea9a8db9d34be8faa7,CWE-774,,
CVE-2020-11012,https://github.com/minio/minio,4cd6ca02c7957aeb2de3eede08b0754332a77923,CWE-755,,
CVE-2021-21287,https://github.com/minio/minio,eb6871ecd960d570f70698877209e6db181bf276,CWE-918,,
CVE-2021-21362,https://github.com/minio/minio,039f59b552319fcc2f83631bb421a7d4b82bc482,CWE-863,,
CVE-2021-21390,https://github.com/minio/minio,e197800f9055489415b53cf137e31e194aaf7ba0,CWE-924,,
CVE-2021-41137,https://github.com/minio/minio,415bbc74aacd53a120e54a663e941b1809982dbd,NVD-CWE-Other,,
CVE-2021-43858,https://github.com/minio/minio,5a96cbbeaabd0a82b0fe881378e7c21c85091abf,CWE-863,,
CVE-2022-24842,https://github.com/minio/minio,66b14a0d32684d527ae8018dc6d9d46ccce58ae3,NVD-CWE-Other,,
CVE-2022-35919,https://github.com/minio/minio,bc72e4226e669d98c8e0f3eccc9297be9251c692,CWE-22,,
CVE-2023-25812,https://github.com/minio/minio,a7188bc9d0f0a5ae05aaf1b8126bcd3cb3fdc485,NVD-CWE-noinfo,,
CVE-2023-28433,https://github.com/minio/minio,8d6558b23649f613414c8527b58973fbdfa4d1b8,NVD-CWE-noinfo,,
CVE-2023-28433,https://github.com/minio/minio,b3c54ec81e0a06392abfb3a1ffcdc80c6fbf6ebc,NVD-CWE-noinfo,,
CVE-2023-28434,https://github.com/minio/minio,67f4ba154a27a1b06e48bfabda38355a010dfca5,NVD-CWE-noinfo,,
CVE-2024-24747,https://github.com/minio/minio,0ae4915a9391ef4b3ec80f5fcdcf24ee6884e776,CWE-269,,
CVE-2024-36107,https://github.com/minio/minio,e0fe7cc391724fc5baa85b45508f425020fe4272,NVD-CWE-noinfo,,
CVE-2018-1002207,https://github.com/mholt/archiver,e4ef56d48eb029648b0e895bb0b6a393ef0829c3,CWE-22,,
CVE-2018-10856,https://github.com/projectatomic/libpod,bae80a0b663925ec751ad2784ca32989403cdc24,CWE-732,,
CVE-2018-12018,https://github.com/ethereum/go-ethereum,a5237a27eaf81946a3edb4fafe13ed6359d119e4,CWE-129,,
CVE-2018-16733,https://github.com/ethereum/go-ethereum,106d196ec4a6451efedc60ab15957f231fa85639,CWE-20,,
CVE-2020-26240,https://github.com/ethereum/go-ethereum,d990df909d7839640143344e79356754384dcdd0,CWE-682,,
CVE-2020-26264,https://github.com/ethereum/go-ethereum,bddd103a9f0af27ef533f04e06ea429cf76b6d46,CWE-400,,
CVE-2018-12976,https://github.com/golang/gddo,daffe1f90ec57f8ed69464f9094753fc6452e983,CWE-22,,
CVE-2018-14474,https://github.com/s-gv/orangeforum,1f6313cb3a1e755880fc1354f3e1efc4dd2dd4aa,CWE-601,,
CVE-2018-14632,https://github.com/evanphx/json-patch,4c9aadca8f89e349c999f04e28199e96e81aba03,CWE-787,,
CVE-2018-16359,https://github.com/google/gvisor,001a4c2493b13a43d62c7511fb509a959ae4abc2,NVD-CWE-noinfo,,
CVE-2018-19333,https://github.com/google/gvisor,0e277a39c8b6f905e289b75e8ad0594e6b3562ca,NVD-CWE-noinfo,,
CVE-2023-7258,https://github.com/google/gvisor,6a112c60a257dadac59962e0bc9e9b5aee70b5b6,NVD-CWE-noinfo,,
CVE-2018-17075,https://github.com/golang/net,aaf60122140d3fcf75376d319f0554393160eb50,CWE-476,,
CVE-2021-33194,https://github.com/golang/net,37e1c6afe02340126705deced573a85ab75209d7,CWE-835,,
