project,cve,cwe,full_name,vul_version,vul_url,vul_zip,vul_markup_file,patch_version,patch_url,patch_zip,patch_markup_file
Zope,CVE-2009-5145,CWE-79,https:/github.com/zopefoundation/Zope,Zope-2.12.1,https://github.com/zopefoundation/Zope/releases/tag/2.12.1,https://github.com/zopefoundation/Zope/archive/refs/tags/2.12.1.zip,Zope_CVE-2009-5145_Zope-2.12.1.csv,Zope-2.12.2,https://github.com/zopefoundation/Zope/releases/tag/2.12.2,https://github.com/zopefoundation/Zope/archive/refs/tags/2.12.2.zip,Zope_CVE-2009-5145_Zope-2.12.2.csv
Zope,CVE-2021-32633,CWE-22,https:/github.com/zopefoundation/Zope,Zope-5.1.2,https://github.com/zopefoundation/Zope/releases/tag/5.1.2,https://github.com/zopefoundation/Zope/archive/refs/tags/5.1.2.zip,Zope_CVE-2021-32633_Zope-5.1.2.csv,Zope-5.2,https://github.com/zopefoundation/Zope/releases/tag/5.2,https://github.com/zopefoundation/Zope/archive/refs/tags/5.2.zip,Zope_CVE-2021-32633_Zope-5.2.csv
Pyro3,CVE-2011-2765,CWE-59,https:/github.com/irmen/Pyro3,Pyro3-3.14,https://github.com/irmen/Pyro3/releases/tag/3.14,https://github.com/irmen/Pyro3/archive/refs/tags/3.14.zip,Pyro3_CVE-2011-2765_Pyro3-3.14.csv,Pyro3-3.15,https://github.com/irmen/Pyro3/releases/tag/3.15,https://github.com/irmen/Pyro3/archive/refs/tags/3.15.zip,Pyro3_CVE-2011-2765_Pyro3-3.15.csv
nova,CVE-2012-2101,CWE-264,https:/github.com/openstack/nova,nova-essex-rc4,https://github.com/openstack/nova/releases/tag/essex-rc4,https://github.com/openstack/nova/archive/refs/tags/essex-rc4.zip,nova_CVE-2012-2101_nova-essex-rc4.csv,nova-folsom-rc3,https://github.com/openstack/nova/releases/tag/folsom-rc3,https://github.com/openstack/nova/archive/refs/tags/folsom-rc3.zip,nova_CVE-2012-2101_nova-folsom-rc3.csv
django,CVE-2012-4520,CWE-20,https:/github.com/django/django,django-1.4.1,https://github.com/django/django/releases/tag/1.4.1,https://github.com/django/django/archive/refs/tags/1.4.1.zip,django_CVE-2012-4520_django-1.4.1.csv,django-1.5a1,https://github.com/django/django/releases/tag/1.5a1,https://github.com/django/django/archive/refs/tags/1.5a1.zip,django_CVE-2012-4520_django-1.5a1.csv
pysaml2,CVE-2016-10127,CWE-611,https:/github.com/rohe/pysaml2,pysaml2-4.0.0,https://github.com/rohe/pysaml2/releases/tag/4.0.0,https://github.com/rohe/pysaml2/archive/refs/tags/4.0.0.zip,pysaml2_CVE-2016-10127_pysaml2-4.0.0.csv,pysaml2-4.4.0-1,https://github.com/rohe/pysaml2/releases/tag/4.4.0-1,https://github.com/rohe/pysaml2/archive/refs/tags/4.4.0-1.zip,pysaml2_CVE-2016-10127_pysaml2-4.4.0-1.csv
pysaml2,CVE-2016-10149,CWE-611,https:/github.com/rohe/pysaml2,pysaml2-4.0.0,https://github.com/rohe/pysaml2/releases/tag/4.0.0,https://github.com/rohe/pysaml2/archive/refs/tags/4.0.0.zip,pysaml2_CVE-2016-10149_pysaml2-4.0.0.csv,pysaml2-4.4.0-1,https://github.com/rohe/pysaml2/releases/tag/4.4.0-1,https://github.com/rohe/pysaml2/archive/refs/tags/4.4.0-1.zip,pysaml2_CVE-2016-10149_pysaml2-4.4.0-1.csv
bottle,CVE-2016-9964,CWE-93,https:/github.com/bottlepy/bottle,bottle-0.12.10,https://github.com/bottlepy/bottle/releases/tag/0.12.10,https://github.com/bottlepy/bottle/archive/refs/tags/0.12.10.zip,bottle_CVE-2016-9964_bottle-0.12.10.csv,bottle-0.12.11,https://github.com/bottlepy/bottle/releases/tag/0.12.11,https://github.com/bottlepy/bottle/archive/refs/tags/0.12.11.zip,bottle_CVE-2016-9964_bottle-0.12.11.csv
Flask-AppBuilder,CVE-2021-41265,CWE-287,https:/github.com/dpgaspar/Flask-AppBuilder,Flask-AppBuilder-3.3.3,https://github.com/dpgaspar/Flask-AppBuilder/releases/tag/v3.3.3,https://github.com/dpgaspar/Flask-AppBuilder/archive/refs/tags/v3.3.3.zip,Flask-AppBuilder_CVE-2021-41265_Flask-AppBuilder-3.3.3.csv,Flask-AppBuilder-3.3.4,https://github.com/dpgaspar/Flask-AppBuilder/releases/tag/v3.3.4,https://github.com/dpgaspar/Flask-AppBuilder/archive/refs/tags/v3.3.4.zip,Flask-AppBuilder_CVE-2021-41265_Flask-AppBuilder-3.3.4.csv
Flask-AppBuilder,CVE-2023-34110,CWE-209,https:/github.com/dpgaspar/Flask-AppBuilder,Flask-AppBuilder-4.3.1,https://github.com/dpgaspar/Flask-AppBuilder/releases/tag/v4.3.1,https://github.com/dpgaspar/Flask-AppBuilder/archive/refs/tags/v4.3.1.zip,Flask-AppBuilder_CVE-2023-34110_Flask-AppBuilder-4.3.1.csv,Flask-AppBuilder-4.3.2,https://github.com/dpgaspar/Flask-AppBuilder/releases/tag/v4.3.2,https://github.com/dpgaspar/Flask-AppBuilder/archive/refs/tags/v4.3.2.zip,Flask-AppBuilder_CVE-2023-34110_Flask-AppBuilder-4.3.2.csv
