cve,project,commit_hash,cwe,vul_version_hash,patch_version_hash
CVE-2024-5334,https://github.com/stitionai/devika,6acce21fb08c3d1123ef05df6a33912bf0ee77c2,CWE-73,4a62feb782accb1b2f67c387e73f7c80672529bb,6acce21fb08c3d1123ef05df6a33912bf0ee77c2
CVE-2024-5548,https://github.com/stitionai/devika,6acce21fb08c3d1123ef05df6a33912bf0ee77c2,CWE-22,4a62feb782accb1b2f67c387e73f7c80672529bb,6acce21fb08c3d1123ef05df6a33912bf0ee77c2
CVE-2024-5549,https://github.com/stitionai/devika,6acce21fb08c3d1123ef05df6a33912bf0ee77c2,CWE-346,4a62feb782accb1b2f67c387e73f7c80672529bb,6acce21fb08c3d1123ef05df6a33912bf0ee77c2
CVE-2024-5711,https://github.com/stitionai/devika,6acce21fb08c3d1123ef05df6a33912bf0ee77c2,CWE-79,4a62feb782accb1b2f67c387e73f7c80672529bb,6acce21fb08c3d1123ef05df6a33912bf0ee77c2
CVE-2023-30837,https://github.com/vyperlang/vyper,0bb7203b584e771b23536ba065a6efda457161bb,CWE-789,6020b8bbf66b062d299d87bc7e4eddc4c9d1c157,036f153683e0d55b890305eb4c77680a0872fcba
CVE-2023-46247,https://github.com/vyperlang/vyper,0bb7203b584e771b23536ba065a6efda457161bb,"CWE-193,CWE-682",6020b8bbf66b062d299d87bc7e4eddc4c9d1c157,036f153683e0d55b890305eb4c77680a0872fcba
CVE-2024-22203,https://github.com/benbusby/whoogle-search,3a2e0b262e4a076a20416b45e6b6f23fd265aeda,CWE-918,92e8ede24e9277a5440d403f75877209f1269884,b97f3dd4c063d5bc35fcdc8fde299c721ec56594
CVE-2024-22204,https://github.com/benbusby/whoogle-search,3a2e0b262e4a076a20416b45e6b6f23fd265aeda,CWE-22,92e8ede24e9277a5440d403f75877209f1269884,b97f3dd4c063d5bc35fcdc8fde299c721ec56594
CVE-2024-22205,https://github.com/benbusby/whoogle-search,3a2e0b262e4a076a20416b45e6b6f23fd265aeda,CWE-918,92e8ede24e9277a5440d403f75877209f1269884,b97f3dd4c063d5bc35fcdc8fde299c721ec56594
CVE-2024-22417,https://github.com/benbusby/whoogle-search,3a2e0b262e4a076a20416b45e6b6f23fd265aeda,CWE-79,92e8ede24e9277a5440d403f75877209f1269884,b97f3dd4c063d5bc35fcdc8fde299c721ec56594
CVE-2023-42458,https://github.com/zopefoundation/Zope,603b0a12881c90a072a7a65e32d47ed898ce37cb,"CWE-79,CWE-80",4e63a8c3bed8c195cf9e3d5472129836f1cab96b,13596dfeb44456dd144126c9b4da1ac442f759a7
CVE-2021-40323,https://github.com/cobbler/cobbler,d8f60bbf14a838c8c8a1dba98086b223e35fe70a,CWE-94,108287a3060a52cbf9c9f11a4959b8c4563d2bca,d8f60bbf14a838c8c8a1dba98086b223e35fe70a
CVE-2021-40324,https://github.com/cobbler/cobbler,d8f60bbf14a838c8c8a1dba98086b223e35fe70a,CWE-434,108287a3060a52cbf9c9f11a4959b8c4563d2bca,d8f60bbf14a838c8c8a1dba98086b223e35fe70a
CVE-2013-0294,https://github.com/pyradius/pyrad,38f74b36814ca5b1a27d9898141126af4953bee5,CWE-330,ce4a625caf5c6d892e020ec150373043a203366e,39a4695e0696b33a7e22ba7f8eef4605d7344372
CVE-2013-0342,https://github.com/pyradius/pyrad,38f74b36814ca5b1a27d9898141126af4953bee5,CWE-20,ce4a625caf5c6d892e020ec150373043a203366e,39a4695e0696b33a7e22ba7f8eef4605d7344372
CVE-2014-1858,https://github.com/numpy/numpy,0bb46c1448b0d3f5453d5182a17ea7ac5854ee15,CWE-20,a60b3901cd635d28bef8328e83bafd35ce631e08,23f8dcf86cf692fcc9dce48350d5d86c0bc63ada
CVE-2014-1859,https://github.com/numpy/numpy,0bb46c1448b0d3f5453d5182a17ea7ac5854ee15,CWE-59,a60b3901cd635d28bef8328e83bafd35ce631e08,23f8dcf86cf692fcc9dce48350d5d86c0bc63ada
CVE-2014-1932,https://github.com/python-imaging/Pillow,4e9f367dfd3f04c8f5d23f7f759ec12782e10ee7,CWE-59,b1b88cf4d255c4b9faf1dae05faaa78091268cb1,b8d4895bd5c41fce88a8ad436672bd8033414797
CVE-2014-1933,https://github.com/python-imaging/Pillow,4e9f367dfd3f04c8f5d23f7f759ec12782e10ee7,CWE-264,b1b88cf4d255c4b9faf1dae05faaa78091268cb1,b8d4895bd5c41fce88a8ad436672bd8033414797
CVE-2022-21699,https://github.com/ipython/ipython,46a51ed69cdf41b4333943d9ceeb945c4ede5668,"CWE-250,CWE-279",b8d7dfa8d78108f3f01486d9fa67b6841acb8f74,325262d1dfdaf65a95a2a94a8b70a7b8a8e119ce
CVE-2022-31168,https://github.com/zulip/zulip,751b2a03e565e9eb02ffe923b7c24ac73d604034,"CWE-285,CWE-863",5e7861830921efdfbd10db2955551af1310629b3,e74582838ff9c7258082b4c1315a8175290dbc17
CVE-2021-43818,https://github.com/lxml/lxml,12fa9669007180a7bb87d990c375cf91ca5b664a,"CWE-74,CWE-79",24a459910130afc8a16bdecdde35ca9d5aa47f1d,a3eacbc0dcf1de1c822ec29fb7d090a4b1712a9c
